concept,W,params,train_fvu,test_fvu,pca3_test_fvu
temperature,256,2184451,0.0001,0.0453,0.1228
temperature,128,1073795,0.0053,0.0459,0.1228
temperature,64,533827,0.0070,0.0445,0.1228
temperature,32,267683,0.0126,0.0330,0.1228
temperature,16,135571,0.0212,0.0472,0.1228
years,256,2184451,0.0000,0.8283,0.8103
years,128,1073795,0.0153,0.9838,0.8103
years,64,533827,0.0772,1.0935,0.8103
years,32,267683,0.2312,1.1664,0.8103
years,16,135571,0.4737,0.8882,0.8103
days,256,2184451,0.0000,0.4236,0.5597
days,128,1073795,0.0000,0.4263,0.5597
days,64,533827,0.0001,0.5713,0.5597
days,32,267683,0.0058,0.7133,0.5597
days,16,135571,0.0683,1.0243,0.5597
colors,256,2184451,0.0504,0.2076,0.2825
colors,128,1073795,0.0810,0.1980,0.2825
colors,64,533827,0.1022,0.1878,0.2825
colors,32,267683,0.1297,0.2174,0.2825
colors,16,135571,0.1870,0.2850,0.2825
