series,point,atoms,rank_units,fvu
hard rank-budget TopK (manifold),3,1.21318359375,4.588916015624999,0.6975610438562216
hard rank-budget TopK (manifold),4,2.255029296875,4.874951171875,0.32618603189754
hard rank-budget TopK (manifold),5,2.837841796875,5.84208984375,0.2008200601897668
hard rank-budget TopK (manifold),6,3.39794921875,6.873583984375,0.11237960536159836
hard rank-budget TopK (manifold),7,3.71904296875,7.728857421875,0.06773127300839626
hard rank-budget TopK (manifold),8,4.171874999999999,8.706542968750002,0.031060338407214668
hard rank-budget TopK (manifold),9,4.064746093749999,9.837207031250001,0.04533828631698488
hard rank-budget TopK (manifold),12,4.878076171875,13.195361328125,0.004874099098496541
hard rank-budget TopK (manifold),16,5.222119140625,18.611474609374998,0.006694759270948595
linear SAE (baseline),3,3.0,3.0,0.27431317960407336
linear SAE (baseline),4,4.0,4.0,0.16057720456955824
linear SAE (baseline),5,5.0,5.0,0.09626550824122984
linear SAE (baseline),6,6.0,6.0,0.05348970873215666
linear SAE (baseline),7,7.0,7.0,0.027761556254448903
linear SAE (baseline),8,8.0,8.0,0.01278054301146918
linear SAE (baseline),9,9.0,9.0,0.005854265365389504
linear SAE (baseline),12,11.999853515625,11.999853515625,0.0003480546883582082
linear SAE (baseline),16,15.917626953125,15.917626953125,5.081028749220671e-05
JumpReLU (STE),lam005,4.406500339508057,6.201250076293945,0.010945363901555538
JumpReLU (STE),lam02,3.6467502117156982,5.330250263214111,0.08618372678756714
JumpReLU (STE),lam05,3.0330002307891846,4.303500175476074,0.1848176270723343
JumpReLU (STE),lam1,4.108250141143799,6.052250385284424,0.03570861369371414
JumpReLU + theta-anneal,lam002,8.35675048828125,11.540750503540039,0.007328570354729891
JumpReLU + theta-anneal,lam005,5.632500171661377,8.589000701904297,0.007991583086550236
JumpReLU + theta-anneal,lam01,6.287500381469727,8.89175033569336,0.011589644476771355
JumpReLU + theta-anneal,lam02,4.09250020980835,6.799750328063965,0.022960614413022995
implicit-lasso (sigmoid),lam001,3.6515002250671387,4.948000431060791,0.0012727463617920876
implicit-lasso (sigmoid),lam003,3.298750162124634,4.154000282287598,0.006829591002315283
implicit-lasso (sigmoid),lam006,2.9800002574920654,3.4770002365112305,0.019198140129446983
implicit-lasso (sigmoid),lam01,2.586250066757202,2.9015002250671387,0.042112696915864944
implicit + tau-anneal,lam001,4.497250080108643,6.492500305175781,0.0016091022407636046
implicit + tau-anneal,lam003,4.159749984741211,5.7230000495910645,0.007274330127984285
implicit + tau-anneal,lam006,3.3985002040863037,4.350500106811523,0.019734397530555725
implicit + tau-anneal,lam01,2.7860000133514404,2.81000018119812,0.036080196499824524
leaky-hard clamp,lam001,3.0807502269744873,4.7385735511779785,0.001298106275498867
leaky-hard clamp,lam003,2.1600000858306885,3.274951219558716,0.006825049873441458
leaky-hard clamp,lam006,1.7452501058578491,2.4905519485473633,0.018648361787199974
leaky-hard clamp,lam01,1.5510001182556152,2.0650792121887207,0.040065959095954895
oracle frontier,cir1+sph1+tor1+mob1+swi1+hel1+fla1+seg1,4.0,4.0,0.04344530906992361
oracle frontier,cir1+sph2+tor1+mob1+swi1+hel1+fla1+seg1,4.0,4.5,0.03192459546581006
oracle frontier,cir1+sph2+tor1+mob1+swi1+hel1+fla2+seg1,4.0,5.0,0.02239374011215034
oracle frontier,cir1+sph2+tor1+mob2+swi1+hel1+fla2+seg1,4.0,5.5,0.014136984315612722
oracle frontier,cir1+sph2+tor2+mob2+swi1+hel1+fla2+seg1,4.0,6.0,0.008657404524186063
oracle frontier,cir1+sph2+tor3+mob2+swi1+hel1+fla2+seg1,4.0,6.5,0.008463891991326022
oracle frontier,cir1+sph2+tor4+mob2+swi1+hel1+fla2+seg1,4.0,7.0,0.0023096667834607842
oracle frontier,cir1+sph3+tor4+mob2+swi1+hel1+fla2+seg1,4.0,7.5,0.0022061404512925264
oracle frontier,cir1+sph3+tor4+mob2+swi2+hel1+fla2+seg1,4.0,8.0,0.002186605261798036
oracle frontier,cir1+sph3+tor4+mob2+swi3+hel1+fla2+seg1,4.0,8.5,0.0021649166216803906
oracle frontier,cir2+sph3+tor4+mob2+swi3+hel1+fla2+seg1,4.0,9.0,0.0021524620253359217
oracle frontier,cir2+sph3+tor4+mob2+swi3+hel2+fla2+seg1,4.0,9.5,0.0021478509813306346
oracle frontier,cir2+sph3+tor4+mob3+swi3+hel2+fla2+seg1,4.0,10.0,0.0021437710754099726
oracle frontier,cir2+sph3+tor4+mob4+swi3+hel2+fla2+seg1,4.0,10.5,0.002143762306062058
