series,point,rank_units_hard,fvu_operating,fvu_thresholded,captured_recon_/48,captured_single_hard_/48
hard_topk,3,4.540666580200195,0.6998366117477417,0.6998366117477417,0,0
hard_topk,4,4.786166667938232,0.32579267024993896,0.35190752148628235,1,0
hard_topk,5,5.592499732971191,0.1964712291955948,0.2284264713525772,1,1
hard_topk,6,6.5851664543151855,0.11105664819478989,0.12099030613899231,3,6
hard_topk,7,7.369666576385498,0.06768229603767395,0.07265797257423401,4,5
hard_topk,8,8.109000205993652,0.030924037098884583,0.03341224417090416,4,12
hard_topk,9,8.943666458129883,0.04311956465244293,0.04826793074607849,6,9
hard_topk,12,10.94950008392334,0.004366653971374035,0.007544503081589937,17,19
hard_topk,16,12.707666397094727,0.007188808172941208,0.01003020815551281,13,19
JumpReLU (STE),lam005,4.607500076293945,0.011047829873859882,0.3950704038143158,13,7
JumpReLU (STE),lam02,4.2851667404174805,0.08784613013267517,0.7304139733314514,6,0
JumpReLU (STE),lam05,3.943166732788086,0.18845634162425995,0.820162296295166,3,0
JumpReLU (STE),lam1,4.427666664123535,0.03220808133482933,0.6401199698448181,6,3
JumpReLU + theta,lam002,11.528666496276855,0.006909158080816269,0.23087912797927856,15,4
JumpReLU + theta,lam005,8.550833702087402,0.008232413791120052,0.08435669541358948,9,4
JumpReLU + theta,lam01,8.845499992370605,0.011274569667875767,0.04049224406480789,10,4
JumpReLU + theta,lam02,6.714666366577148,0.023601455613970757,0.04855651035904884,10,1
implicit-lasso,lam001,4.930833339691162,0.0012791847111657262,0.19079746305942535,24,5
implicit-lasso,lam003,4.12933349609375,0.006796339061111212,0.2357960343360901,18,6
implicit-lasso,lam006,3.4568333625793457,0.019309237599372864,0.28159987926483154,7,3
implicit-lasso,lam01,2.882833242416382,0.042505793273448944,0.3319719135761261,3,1
implicit + tau,lam001,6.493166446685791,0.0016499909106642008,0.11099259555339813,22,11
implicit + tau,lam003,5.699666500091553,0.007225986570119858,0.12997132539749146,18,6
implicit + tau,lam006,4.392333507537842,0.020217617973685265,0.20112666487693787,10,5
implicit + tau,lam01,2.823166608810425,0.03582300245761871,0.2663949728012085,4,2
leaky-hard clamp,lam001,4.316166400909424,0.0013083169469609857,0.27422472834587097,23,2
leaky-hard clamp,lam003,2.812833309173584,0.006729388143867254,0.48487168550491333,17,0
leaky-hard clamp,lam006,1.9251666069030762,0.018693039193749428,0.559269905090332,11,0
leaky-hard clamp,lam01,1.6203333139419556,0.040305159986019135,0.5666883587837219,1,0
